<think>Thinking Process:

1.  **Analyze the Request:**
    *   **Role:** Monster Designer for "Devolution Idle Game".
    *   **Task:** Create 1 new monster with its devolution tree (Base -> Level 1 Devolutions -> Level 2 Devolutions).
    *   **Constraints:**
        *   Respond with ONLY valid JSON.
        *   No thinking, no explanation, no markdown outside the JSON.
        *   Start with `{` and end with `}`.
        *   Game Concept: Turn-based taming (calming/bonding), monsters "devolve" (regress to simpler/cuter forms).
        *   Sensory Axes: sound, temperature, smell, behavior.
        *   Personalities: aggressive, timid, curious, stubborn.
        *   Avoid overlap with existing enemies (`abyss_wolf`, `glass_moth`, `stone_turtle`, `shadow_cat`, `crystal_deer`, `fog_jellyfish`, `iron_boar`, `echo_bat`) and allies (`water fairy`, `ember creature`, `leaf fairy`, `crystal bug`, `moss salamander`, `spark tail`).
        *   Devolution rules: Smaller, simpler, cuter forms. Visually distinct.
        *   Image Prompts: English, pokemon/creature collector style.
        *   JSON Structure: Strictly follow the provided schema (base, devolutions_1 array of 3 objects, devolutions_2 array of 6 objects).
        *   Language: Korean names/descriptions (`name_kr`, `desc_kr`) and English IDs/prompts (`name_en`, `image_prompt`).

2.  **Check Existing Monsters:**
    *   Enemies: abyss_wolf (dark/curled), glass_moth (transparent/winged), stone_turtle (rocky/shelled), shadow_cat (stealthy/feline), crystal_deer (gem/horned), fog_jellyfish (gas/marine), iron_boar (metaline/primitive), echo_bat (sonic/avian).
    *   Allies: water fairy, ember creature, leaf fairy, crystal bug, moss salamander, spark tail.
    *   **My New Monster:** Needs to avoid these themes. Let's try something related to **Wind/Air** or **Plant/Fungus** that isn't "Leaf Fairy" or "Moss". Maybe a **Cloud/Storm** creature or a **Sand/Dune** creature.
    *   Idea: A sandstorm entity. But `abyss_wolf` and `stone_turtle` cover earth/darkness. Let's try something **Electrical/Gas** that isn't `ember`, `spark`, `crystal`. How about **Static/Silk**? Or **Magnetic/Rust**?
    *   Better Idea: A **Desert/Heat Mirage** creature. Not exactly temperature-based like `ember`. It manipulates light and heat to hide.
    *   Wait, `fog_jellyfish` covers gas/marine. `shadow_cat` covers stealth. `iron_boar` covers metal.
    *   Let's try **Thunder/Wind** without being an `echo_bat` (sonic).
    *   How about a **Magnetic Sandstorm**? No, let's go for something organic but fantastical. A **Bamboo Spirit** or **Vine Strangler**. But `leaf fairy` and `moss salamander` cover plants.
    *   Let's try **Ceramic/Clay**? Not stone (`stone_turtle`).
    *   Let's try **Gas/Bubble**? `fog_jellyfish` is close.
    *   Let's try **Electricity/Wire**? No `spark tail`.
    *   Okay, how about a **Coral/Sponge** creature that lives underwater but isn't water fairy or jellyfish? Or a **Fungal Spore** monster?
    *   Actually, let's go with a **Sand/Desert Wind Spirit**. It uses heat and sand. Not `stone`.
    *   Name Idea: Sandstorm Fox? Too close to cat/wolf.
    *   Name Idea: Mirage Lizard?
    *   Let's try a **Wind Chime/Glass** creature. No, `glass_moth` exists.
    *   Let's try a **Volcanic Rock Golem**? No, `stone_turtle`.
    *   Okay, let's do something unique: A **Petrified Bone/Driftwood** creature? No, too dark.
    *   How about a **Bioluminescent Cave Insect**? Not `crystal bug` or `shadow_cat`.
    *   Let's settle on a **Thunder-Cloud Fox**? No.
    *   Okay, let's create a **Salt Crystal Scorpion**. Wait, `stone_turtle` and `glass_moth` cover stone/glass.
    *   How about a **Plasma/Sun Ray** entity? Too close to `ember`.
    *   Let's go with **Magnetic Sandstorm Eel**.
    *   Actually, the safest bet for distinctness is something **Elemental but not covered**. Earth/Water/Fire/Air/Dark/Light are taken. What about **Lightning/Static**? No spark. **Gravity**?
    *   Let's try a **Quicksand Beast**.
    *   Okay, final decision: A **"Sandglass Scorpion"**? Or **"Dune Wyrm"**.
