form_id,skill_slot,skill_id,skill_name_kr,skill_role,category,axis_primary,axis_secondary,delta_pattern,base_power,pp,affected_axis_count,purity_level,mechanic_link,mechanic_params,route_function,upgrade_rule,temperature_delta,brightness_delta,smell_delta,humidity_delta,sound_delta,design_note
howl_wolf,1,howl_wolf__s1,울림 절삭,capture_core,stimulate,sound,brightness|smell|temperature,raise,3,5,3,1,,,current_capture,main axis focus strengthens as the form devolves,0,-1,1,0,-3,거친 다축형 / 현재 포획 핵심축 대응
howl_wolf,2,howl_wolf__s2,빛 유도,route_bridge,hybrid,brightness,temperature|smell,convert,1,4,3,1,,,next_unlock,bridge axis remains but side noise is pruned each stage,-1,-1,-1,0,0,거친 다축형 / 다음 루트 연결축 준비
howl_wolf,3,howl_wolf__s3,울음 누적 운용,mechanic_core,hybrid,sound,brightness,check,4,3,2,1,sonic_buildup,"[1, 4]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,-1,0,0,-2,거친 다축형 / 울음 누적 메커닉 반영
howl_wolf_d1_0,1,howl_wolf_d1_0__s1,울림 절삭,capture_core,stimulate,sound,brightness|smell,raise,5,4,3,2,,,current_capture,main axis focus strengthens as the form devolves,0,-2,2,0,-5,불필요한 축 일부 제거 / 현재 포획 핵심축 대응
howl_wolf_d1_0,2,howl_wolf_d1_0__s2,빛 유도,route_bridge,hybrid,brightness,temperature,convert,1,4,2,2,,,next_unlock,bridge axis remains but side noise is pruned each stage,-1,-1,0,0,0,불필요한 축 일부 제거 / 다음 루트 연결축 준비
howl_wolf_d1_0,3,howl_wolf_d1_0__s3,울음 누적 운용,mechanic_core,hybrid,sound,brightness,check,3,3,2,2,sonic_buildup,"[1, 3]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,-1,0,0,-3,불필요한 축 일부 제거 / 울음 누적 메커닉 반영
howl_wolf_d1_1,1,howl_wolf_d1_1__s1,울림 절삭,capture_core,stimulate,sound,brightness|smell,raise,5,4,3,2,,,current_capture,main axis focus strengthens as the form devolves,0,-2,2,0,-5,불필요한 축 일부 제거 / 현재 포획 핵심축 대응
howl_wolf_d1_1,2,howl_wolf_d1_1__s2,빛 유도,route_bridge,hybrid,brightness,temperature,convert,1,4,2,2,,,next_unlock,bridge axis remains but side noise is pruned each stage,-1,-1,0,0,0,불필요한 축 일부 제거 / 다음 루트 연결축 준비
howl_wolf_d1_1,3,howl_wolf_d1_1__s3,울음 누적 운용,mechanic_core,hybrid,sound,brightness,check,3,3,2,2,sonic_buildup,"[1, 3]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,-1,0,0,-3,불필요한 축 일부 제거 / 울음 누적 메커닉 반영
howl_wolf_d1_2,1,howl_wolf_d1_2__s1,울림 절삭,capture_core,stimulate,sound,brightness|smell,raise,5,4,3,2,,,current_capture,main axis focus strengthens as the form devolves,0,-2,2,0,-5,불필요한 축 일부 제거 / 현재 포획 핵심축 대응
howl_wolf_d1_2,2,howl_wolf_d1_2__s2,빛 유도,route_bridge,hybrid,brightness,temperature,convert,1,4,2,2,,,next_unlock,bridge axis remains but side noise is pruned each stage,-1,-1,0,0,0,불필요한 축 일부 제거 / 다음 루트 연결축 준비
howl_wolf_d1_2,3,howl_wolf_d1_2__s3,울음 누적 운용,mechanic_core,hybrid,sound,brightness,check,3,3,2,2,sonic_buildup,"[1, 3]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,-1,0,0,-3,불필요한 축 일부 제거 / 울음 누적 메커닉 반영
howl_wolf_d2_0,1,howl_wolf_d2_0__s1,울림 절삭,capture_core,stimulate,sound,,lower,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,0,0,-5,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
howl_wolf_d2_0,2,howl_wolf_d2_0__s2,빛 유도,route_bridge,hybrid,brightness,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,-2,0,0,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
howl_wolf_d2_0,3,howl_wolf_d2_0__s3,울음 누적 운용,mechanic_core,hybrid,sound,,check,3,2,1,3,sonic_buildup,"[1, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,0,0,-3,핵심축만 남긴 정제형 / 울음 누적 메커닉 반영
howl_wolf_d2_1,1,howl_wolf_d2_1__s1,울림 절삭,capture_core,stimulate,sound,,lower,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,0,0,-5,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
howl_wolf_d2_1,2,howl_wolf_d2_1__s2,빛 유도,route_bridge,hybrid,brightness,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,-2,0,0,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
howl_wolf_d2_1,3,howl_wolf_d2_1__s3,울음 누적 운용,mechanic_core,hybrid,sound,,check,3,2,1,3,sonic_buildup,"[1, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,0,0,-3,핵심축만 남긴 정제형 / 울음 누적 메커닉 반영
howl_wolf_d2_2,1,howl_wolf_d2_2__s1,울림 절삭,capture_core,stimulate,sound,,lower,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,0,0,-5,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
howl_wolf_d2_2,2,howl_wolf_d2_2__s2,빛 유도,route_bridge,hybrid,brightness,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,-2,0,0,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
howl_wolf_d2_2,3,howl_wolf_d2_2__s3,울음 누적 운용,mechanic_core,hybrid,sound,,check,3,2,1,3,sonic_buildup,"[1, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,0,0,-3,핵심축만 남긴 정제형 / 울음 누적 메커닉 반영
howl_wolf_d2_3,1,howl_wolf_d2_3__s1,울림 절삭,capture_core,stimulate,sound,,lower,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,0,0,-5,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
howl_wolf_d2_3,2,howl_wolf_d2_3__s2,빛 유도,route_bridge,hybrid,brightness,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,-2,0,0,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
howl_wolf_d2_3,3,howl_wolf_d2_3__s3,울음 누적 운용,mechanic_core,hybrid,sound,,check,3,2,1,3,sonic_buildup,"[1, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,0,0,-3,핵심축만 남긴 정제형 / 울음 누적 메커닉 반영
howl_wolf_d2_4,1,howl_wolf_d2_4__s1,울림 절삭,capture_core,stimulate,sound,,lower,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,0,0,-5,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
